,link,name,username,text,date,retweeted,No_of_likes,No-of_retweets
23,https://twitter.com/KataKataRanger0/status/1697514881803575446#m,Manuel bekes,@KataKataRanger0,#JagunJagunMovie,"Sep 1, 2023 · 7:41 AM UTC",False,0,0
24,https://twitter.com/King_Adekola/status/1697349487860048224#m,Mista•Ronaldo👑,@King_Adekola,But Lateef have the power to talk to sticks and woods… why didn’t he talk to the cane they use in beating him inside #JagunJagunMovie ?,"Aug 31, 2023 · 8:43 PM UTC",False,0,0
25,https://twitter.com/IamAkoredeMM/status/1697342849908375761#m,AKOREDE MM,@IamAkoredeMM,My entry for #beastandpeacerapchallenge by @iammohbad_ 🙏🏾😒🔥🔥  @Olamide @davido @Zlatan_Ibile @DONJAZZY @mrmacaronii @phynofino #OnePieceLiveAction #thursdayvibes #30BG #BBNaija #JagunJagunMovie #NODAYSOFF,"Aug 31, 2023 · 8:17 PM UTC",False,1,0
26,https://twitter.com/OyedeleDammie/status/1697316891780436205#m,Damilola Oyedele,@OyedeleDammie,"I finally watched #JagunJagunMovie @TheDimejiLateef @realfemiadebayo take a bow 👏 👏👏👏 🌺 🌺🌺. The full cast, directors, effects etc. This movie earned its accolades","Aug 31, 2023 · 6:34 PM UTC",False,29,4
27,https://twitter.com/boomdaddyy/status/1697284316395348056#m,Cyber3xPrime,@boomdaddyy,@realfemiadebayo didn't tell us #JagunJagunMovie part 2 would be out this quick?! These guys are hilarious 🤣🤣🤣  @TheDimejiLateef @realfemiadebayo @NetflixNaija,"Aug 31, 2023 · 4:24 PM UTC",False,0,0
28,https://twitter.com/thisgirliswzdom/status/1697262307276136493#m,.𝚂ophiaaa.💗,@thisgirliswzdom,I couldn't believe Kitan was Agemo #JagunJagun #JagunJagunMovie,"Aug 31, 2023 · 2:57 PM UTC",False,0,0
29,https://twitter.com/KweenBecky/status/1697246854751346805#m,Fried Beckie,@KweenBecky,Lateef has range mehn👏🏽👏🏽👏🏽 #JagunJagunMovie,"Aug 31, 2023 · 1:55 PM UTC",False,0,0
30,https://twitter.com/LageluFM967/status/1697236017810375074#m,Lagelu FM IBADAN,@LageluFM967,Ohun ti fimu “JAGUNJAGUN  se fun omo Skelebe...    #reels #lagelufm967 #jagunjagunmovie #explore @realfemiadebayo,"Aug 31, 2023 · 1:12 PM UTC",False,3,1
31,https://twitter.com/thebashirat/status/1697233319874752720#m,"Life, Grief & Healing Coach, Author",@thebashirat,The display of emotions in #JagunJagunMovie 🔥 >>>,"Aug 31, 2023 · 1:02 PM UTC",False,1,0
32,https://twitter.com/thebashirat/status/1697232896099004480#m,"Life, Grief & Healing Coach, Author",@thebashirat,"Omo, #JagunJagunMovie is as they have described it! 🔥","Aug 31, 2023 · 1:00 PM UTC",False,1,0
33,https://twitter.com/Abdulmumini32/status/1697192999489298521#m,Mr. Akin🇳🇬,@Abdulmumini32,"I just finished watching JAGUN JAGUN  prt 2, everything that happened in prt 1 na dream. GBOTIJA later gain admission enter  IBADAN POLY. #JagunJagunMovie","Aug 31, 2023 · 10:21 AM UTC",False,0,0
34,https://twitter.com/PDA_sworld/status/1697188725132808464#m,Dayo Adegoke,@PDA_sworld,JAGUN JAGUN DANCE Don't go to that party without learning the dance #jagunjagundance #JagunJagunMovie #JagunJagun #gbogunmi @yabaleftonline #deonedeone,"Aug 31, 2023 · 10:04 AM UTC",False,0,0
35,https://twitter.com/sir_muyico/status/1697186683005846010#m,Sirmuyico,@sir_muyico,"You wan borrow money, you come go on disappearing msg  Iwo ati tani pelu tani @realfemiadebayo #Amrabat #UCLdraw #odumodu @fredgreele #JagunJagunMovie #JagunJagun","Aug 31, 2023 · 9:56 AM UTC",False,1,1
36,https://twitter.com/ReesMediaNG/status/1697168399489499431#m,A-Sofowora ❤️❤️❤️❤️,@ReesMediaNG,Your mates dey ask for millions 😩😩🤣🤣🤣🤣🤣 #JagunJagunMovie,"Aug 31, 2023 · 8:44 AM UTC",False,1,1
37,https://twitter.com/officialOSYB/status/1697148191353799005#m,Ayodele ti idi ile Ogunsusi,@officialOSYB,Another one guys!!! A tribute if you may? I made a #coverAd for @realfemiadebayo classic #JagunJagunMovie cc @netflix #nocopyright infringement intended.,"Aug 31, 2023 · 7:23 AM UTC",False,6,4
38,https://twitter.com/OluwaKamal/status/1697137112246587392#m,Kamal رحمن,@OluwaKamal,Abi #JagunJagunMovie 🤣,"Aug 31, 2023 · 6:39 AM UTC",False,0,0
39,https://twitter.com/Thobyking09/status/1697120912745586810#m,Lord of Winterfell,@Thobyking09,"Pele ooo agemo, na why dem Dey use u for dirty job for #JagunJagunMovie . For that your heart , na tree trunk go pierce am when OUR MANDATE is retrieved onisokuso Omo","Aug 31, 2023 · 5:35 AM UTC",False,1,0
40,https://twitter.com/moreniiikg/status/1696959677815202187#m,moren💋💃🏾,@moreniiikg,This movie is nice 👍🏽 can’t believe I cried 🫤#JagunJagunMovie,"Aug 30, 2023 · 6:54 PM UTC",False,0,0
41,https://twitter.com/Yusuph____/status/1696943330133696590#m,𝚇𝚈𝚞𝚜𝚞𝚙𝚑 🪐,@Yusuph____,How dope is that #JagunJagunMovie?,"Aug 30, 2023 · 5:49 PM UTC",False,0,0
42,https://twitter.com/GidaHills/status/1696931579937882340#m,Very Rare Boy,@GidaHills,They say #Unruly Album and #JagunJagunMovie was the best thing to happen to Nigeria Entertainment Industry in 2023. I took that energy in and made the best cover of the year #celebrate #lyricvideo cc @Olamide @Yes_Liya @Jbrandy_YBNL @realfemiadebayo @Teniola__YBNL @fikky_ybnl,"Aug 30, 2023 · 5:03 PM UTC",False,6,6
43,https://twitter.com/Wigobetofficial/status/1696920714392326624#m,Wigobet_Official,@Wigobetofficial,#wigobet #prediksitogel #JagunJagunMovie,"Aug 30, 2023 · 4:20 PM UTC",False,0,0
44,https://twitter.com/FIKAYOFIKAYO/status/1696899834697949538#m,FIKAYO of NIGERIA 🇳🇬,@FIKAYOFIKAYO,"My international passport is still very much active, who wanna sponsor my trip out this shithole called Nigeria?  #viralvideo #bubagirl #jjk234 #snapchat #حادث_الفاشينستا #Florida #vunzigewoensdag #Gabon #AsiaCup23 #EastEnders #bbnaijaAllstars #TOTO Husspuppi #JagunJagunMovie","Aug 30, 2023 · 2:57 PM UTC",False,1,1
45,https://twitter.com/focus112018/status/1696862905155629487#m,Abass Abdulsalam,@focus112018,Rate this work...Agemo heard 😃😃 @femiadebayo370 #JagunJagunMovie,"Aug 30, 2023 · 12:30 PM UTC",False,0,0
46,https://twitter.com/williams_corpaa/status/1696860419267195215#m,🇨🇵🇳🇬THE SPECIALIST⚖️,@williams_corpaa,#JagunJagunMovie,"Aug 30, 2023 · 12:20 PM UTC",False,0,0
47,https://twitter.com/dannyoddy/status/1696852998368952714#m,Daniel Odeyemi | IdanOluwa #restructurenigeria,@dannyoddy,https://sciencenigeria.com/deploying-digital-technology-to-revitalise-traditional-cultural-industries-value-system/ @realfemiadebayo #JagunJagunMovie,"Aug 30, 2023 · 11:50 AM UTC",False,0,0
48,https://twitter.com/realfemiadebayo/status/1696798243009511702#m,Femi Adebayo,@realfemiadebayo,Women crush Wednesday🤭 Describe their characters in your own best ways.    #JagunJagunMovie #JagunJagun #NetflixNaija,"Aug 30, 2023 · 8:13 AM UTC",False,56,8
49,https://twitter.com/realfemiadebayo/status/1696798232968401350#m,Femi Adebayo,@realfemiadebayo,Women crush Wednesday🤭 Describe their characters in your own best ways.    #JagunJagunMovie #JagunJagun #NetflixNaija,"Aug 30, 2023 · 8:13 AM UTC",False,1582,129
50,https://twitter.com/CallhimF/status/1696564038249992216#m,Bamisebi Abioye,@CallhimF,I told u I dey inside #JagunJagunMovie movie u no won believe me. No be me dey run 📷  to go and fight @TheDimejiLateef  here. my boss @realfemiadebayo beg me make i no kill him there 😂,"Aug 29, 2023 · 4:42 PM UTC",False,0,0
51,https://twitter.com/kd_udochisom/status/1696537201046331742#m,Ojadike 𝕏,@kd_udochisom,"@realfemiadebayo #JagunJagunMovie is 🔥. Although I don't fully understand Yoruba but it's 😋. Gbotija your worst nightmare 👻. Iroyinogunkitan's death was a major reason he came back for you Is there Jagun Jagun 2, because the look from the Prince's face shows kasala never end😂","Aug 29, 2023 · 2:56 PM UTC",False,0,0
52,https://twitter.com/MujeebBaka62903/status/1696536003731952051#m,Mujeeb Bakare,@MujeebBaka62903,#JagunJagunMovie #JagunJagun #Jaguar2 @TikTokSupport @tiktok_us @libsoftiktok @libsoftiktok @jtimberlake @tiktok_us #TikTokライブ #tiktok18 #googlesearch @Tiktokaccoun @TiktokaccountC #TikTokAwardsMYxTV3 https://www.fiverr.com/s/rNo5dN,"Aug 29, 2023 · 2:51 PM UTC",False,1,0
53,https://twitter.com/InsideIlorin_NG/status/1696491643929608242#m,Inside_Ilorin,@InsideIlorin_NG,"Baba Kamo 💯  @realfemiadebayo Femi Femo, Omo Adebayo je la lo ro semo 😂   #JagunjagunMovie","Aug 29, 2023 · 11:55 AM UTC",False,35,17
54,https://twitter.com/osahon_uwagboe/status/1696341111814660347#m,Osahon Uwagboe,@osahon_uwagboe,My thoughts on #JagunJagunMovie https://tube.mint.lgbt/X2thCSHrZTQ?si=KSRAExRKN33WIpYs,"Aug 29, 2023 · 1:56 AM UTC",False,3,3
55,https://twitter.com/kacharn1/status/1696317295927136475#m,Kachaan admirer,@kacharn1,If seyi escapes this week. I go dey call am Gbotija for #JagunJagunMovie,"Aug 29, 2023 · 12:22 AM UTC",False,2,0
56,https://twitter.com/EniolaOyewale/status/1696287420604424200#m,Oyelami Oyewale,@EniolaOyewale,Iroyinogunkiitan  @realfemiadebayo #JagunJagunMovie,"Aug 28, 2023 · 10:23 PM UTC",False,2,1
57,https://twitter.com/kizbrizzy2/status/1696285232331112814#m,Kiz,@kizbrizzy2,Hollywood would have made a comic out of that Agemo's character or the whole of the Jagun Jagun. #JagunJagunMovie,"Aug 28, 2023 · 10:14 PM UTC",False,8,2
58,https://twitter.com/macaluchie/status/1696284538387706067#m,wackfoodie_ng,@macaluchie,"#JagunJagunMovie  Dz scene revealed alot abt d situatns in our cntry & tlked alot abt how yths r bin treated&abused, hw ech state z bin devast8d,&dt's y we r wia we r2day. May God blez our cntry.Thx ,@realfemiadebayo, 4 usin wt u knw hw to do bst 2 rmd us of our purpz as a cntry","Aug 28, 2023 · 10:12 PM UTC",False,1,0
59,https://twitter.com/afrobeatvue/status/1696278959090995703#m,ᴀꜰʀᴏʙᴇᴀᴛ ᴠᴜᴇ,@afrobeatvue,America get super man🦸 China get  Jackie Chan🧝 South Africa get Black panther🥷 Wetin Nigeria get.... 😂😂😂💔#JagunJagunMovie #bubagirl,"Aug 28, 2023 · 9:49 PM UTC",False,0,0
60,https://twitter.com/macaluchie/status/1696276984714633596#m,wackfoodie_ng,@macaluchie,"@realfemiadebayo #JagunJagunMovie  I don't like to criticise good work, but I feel this is the only scene they should have worked on. She looked into the camera and almost laughed😂🤣","Aug 28, 2023 · 9:42 PM UTC",False,0,0
61,https://twitter.com/macaluchie/status/1696271823350964393#m,wackfoodie_ng,@macaluchie,#JagunJagunMovie @realfemiadebayo   Sometimes keeping too much secret from your partner could cause so much harm. Agemo's death could have been avoided if she had told Gbotija she's Agemo.,"Aug 28, 2023 · 9:21 PM UTC",False,25,2
62,https://twitter.com/macaluchie/status/1696261424736321763#m,wackfoodie_ng,@macaluchie,"#JagunJagunMovie #iteletheicon @realfemiadebayo   Who else notices #iteletheicon? He has always given one distinct art in all his roles; if you watch Agesinkole, you’ll notice he gave another art.","Aug 28, 2023 · 8:40 PM UTC",False,15,1
63,https://twitter.com/macaluchie/status/1696256843369111686#m,wackfoodie_ng,@macaluchie,"@realfemiadebayo @woliagba__ipm @Jiganbabaojar #JagunJagunMovie  This is the funniest part in the movie , Jigan eyes wan kee me 😂🤣🤣🤣🤣","Aug 28, 2023 · 8:22 PM UTC",False,14,2
64,https://twitter.com/iamsidneyizulu/status/1696228650746515610#m,Uncle Sid,@iamsidneyizulu,Who else felt the chills from this scene?  #JagunJagunMovie,"Aug 28, 2023 · 6:29 PM UTC",False,1,0
65,https://twitter.com/reginadaniels__/status/1696217780733747282#m,Regina Daniels.,@reginadaniels__,Just watched jagun jagun.. it’s the best African movie on netflix and before you argue.. go watch it!! #JagunJagunMovie,"Aug 28, 2023 · 5:46 PM UTC",False,1,0
66,https://twitter.com/Akahilz2/status/1696202938295763356#m,"Akahilz🐯 ||| Creator (👑 ,🌍)",@Akahilz2,Two legends @realfemiadebayo and @TheDimejiLateef #JagunJagunMovie #kesari,"Aug 28, 2023 · 4:47 PM UTC",False,1,0
67,https://twitter.com/yomigold1606/status/1696199876806164561#m,YomiGold INTUITION 🗯️,@yomigold1606,All Eyes on the Commities #JagunJagunMovie,"Aug 28, 2023 · 4:35 PM UTC",False,0,0
68,https://twitter.com/Tunji_Iconic/status/1696193092813025706#m,Tunji Detoye,@Tunji_Iconic,'Iwo tani ati tani...niwaju awon tani' #JagunJagunMovie  Best movie of the Century 🏆,"Aug 28, 2023 · 4:08 PM UTC",False,0,0
69,https://twitter.com/melunwa_e/status/1696192092538650896#m,Aethelthryth,@melunwa_e,Why’s #JagunJagunMovie taking me 50months to waattcchhh???!!!!!,"Aug 28, 2023 · 4:04 PM UTC",False,0,0
70,https://twitter.com/tolexzyc4/status/1696183795030929869#m,OKUYEDI,@tolexzyc4,#JagunJagunMovie  JAGUNJAGUN OF @RemoStarsSC  God will give you more strength and wisdom.  I dey feel you competent and courage @AdamsOlami14 #NPFL24 #CAFCC #unlimited,"Aug 28, 2023 · 3:31 PM UTC",False,2,0
